Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
5,7,2013,18,29,35,BEG,5.41,25,4.62,NF,15,24,10,4,1,0,0,0,0,28,0,0,27,0,0,2,2,726,19,18
5,7,2013,18,30,7,BEG,5.12,22,4.29,NF,14,22,14,4,0,0,0,0,0,27,0,0,25,0,0,3,1,826,12,17
5,7,2013,18,30,43,BEG,4.62,16,3.46,NF,19,18,11,5,1,0,0,0,0,23,0,0,20,0,0,2,2,640,11,15
5,7,2013,20,3,43,BEG,6.92,22,3.17,Flag,12,23,14,5,0,0,0,0,0,24,4,5,20,4,3,3,4,909,19,20
5,7,2013,20,3,57,BEG,3.25,10,3.07,Flag,25,16,10,2,1,0,0,0,0,11,1,1,9,1,1,2,3,514,9,10
5,7,2013,20,4,11,BEG,6.10,23,3.77,Flag,14,32,8,0,0,0,0,0,0,11,2,6,10,2,6,1,4,813,16,16
5,7,2013,20,4,30,BEG,5.26,23,4.37,Flag,11,29,12,2,0,0,0,0,0,15,3,4,14,3,4,1,4,709,17,19
5,7,2013,20,4,49,BEG,3.53,10,2.83,NF,19,17,16,1,1,0,0,0,0,16,0,0,14,0,0,3,2,481,10,10
5,7,2013,20,5,21,BEG,9.06,22,2.42,Flag,11,29,10,4,0,0,0,0,0,16,5,10,14,5,8,4,5,1161,17,18
5,7,2013,20,5,33,BEG,4.78,15,3.13,Flag,18,23,12,1,0,0,0,0,0,19,2,2,18,2,2,2,3,713,11,10
5,7,2013,20,5,47,BEG,2.98,10,3.35,Flag,27,15,7,4,1,0,0,0,0,10,1,1,9,1,1,2,5,506,8,8
5,7,2013,20,6,6,BEG,6.67,23,3.44,Flag,10,34,7,3,0,0,0,0,0,19,3,8,17,3,8,4,2,792,18,19
5,7,2013,20,6,27,BEG,5.26,16,3.04,Flag,21,13,14,5,1,0,0,0,0,21,1,0,19,1,0,2,2,735,13,15
5,7,2013,20,6,42,BEG,4.95,16,3.23,Flag,20,21,7,4,1,1,0,0,0,19,1,3,17,1,2,3,2,528,12,14
5,7,2013,20,7,5,BEG,4.85,18,3.71,Flag,17,22,11,4,0,0,0,0,0,14,1,4,13,1,4,3,5,629,15,18
5,7,2013,20,7,29,BEG,4.10,12,2.92,Flag,16,24,11,3,0,0,0,0,0,15,1,3,12,1,2,3,4,623,12,12
5,7,2013,20,7,37,BEG,5.73,22,3.83,NF,14,22,13,5,0,0,0,0,0,28,0,0,27,0,0,3,3,664,16,19
